medium;description;compound;bigg_id;formula;exchange_flux
LB;Lysogeny broth (from CarveMe);Sulfate;so4;SO4;2.5
LB;Lysogeny broth (from CarveMe);Thiamin;thm;C12H17N4OS;2.5
LB;Lysogeny broth (from CarveMe);L-Threonine;thr__L;C4H9NO3;2.5
LB;Lysogeny broth (from CarveMe);Thymidine;thymd;C10H14N2O5;2.5
LB;Lysogeny broth (from CarveMe);L-Tryptophan;trp__L;C11H12N2O2;2.5
LB;Lysogeny broth (from CarveMe);L-Tyrosine;tyr__L;C9H11NO3;2.5
LB;Lysogeny broth (from CarveMe);UMP;ump;C9H11N2O9P;2.5
LB;Lysogeny broth (from CarveMe);Uracil;ura;C4H4N2O2;2.5
LB;Lysogeny broth (from CarveMe);Uridine;uri;C9H12N2O6;2.5
LB;Lysogeny broth (from CarveMe);L-Valine;val__L;C5H11NO2;2.5
LB;Lysogeny broth (from CarveMe);Zn2+;zn2;Zn;2.5
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);L-Alanine;ala__L;C3H7NO2;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);L-Argenine;arg__L;C6H15N4O2;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);L-Glutamate;glu__L;C5H8NO4;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Glycine;gly;C2H5NO2;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);L-Histidine;his__L;C6H9N3O2;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);L-Leucine;leu__L;C6H13NO2;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);L-Lysine;lys__L;C6H15N2O2;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);L-Phenylalanine;phe__L;C9H11NO2;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);L-Proline;pro__L;C5H9NO2;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);L-Serine;ser__L;C3H7NO3;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);L-Threonine;thr__L;C4H9NO3;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);L-Tryptophan;trp__L;C11H12N2O2;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);L-Valine;val__L;C5H11NO2;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Ca2+;ca2;Ca;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Cl-;cl;Cl;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Co2+;cobalt2;Co;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Cu2+;cu2;Cu;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Fe2+;fe2;Fe;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Fe3+;fe3;Fe;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);D-Glucose;glc__D;C6H12O6;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);H2O;h2o;H2O;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);K+;k;K;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Mg;mg2;Mg;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Mn2+;mn2;Mn;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Molybdate;mobd;MoO4;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Na+;na1;Na;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Ni2+;ni2;Ni;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);O2;o2;O2;
SNM3;Synthetic nasal medium, adapted from Krismer et. al, 2014 (+ o2, h20, fe2, fe3 as it is in water);Phosphate;pi;HO4P;
